Sıra,Sure,Ayet,Metin,Hoca
133,2,126,veiẕ ḳâle ibrâhîmu rabbi-c`al hâẕâ beleden âminev verzuḳ ehlehû mine-ŝŝemerâti men âmene minhum billâhi velyevmi-l'âḫir. ḳâle vemen kefera feumetti`uhû ḳalîlen ŝumme aḍṭarruhû ilâ `aẕâbi-nnâr. vebi'se-lmeṣîr.,Abay Yazılışı
134,2,127,veiẕ yerfe`u ibrâhîmu-lḳavâ`ide mine-lbeyti veismâ`îl. rabbenâ teḳabbel minnâ. inneke ente-ssemî`u-l`alîm.,Abay Yazılışı
135,2,128,rabbenâ vec`alnâ muslimeyni leke vemin ẕurriyyetinâ ummetem muslimetel lek. veerinâ menâsikenâ vetub `aleynâ. inneke ente-ttevvâbu-rraḥîm.,Abay Yazılışı
136,2,129,rabbenâ veb`aŝ fîhim rasûlem minhum yetlû `aleyhim âyâtike veyu`allimuhumu-lkitâbe velḥikmete veyuzekkîhim. inneke ente-l`azîzu-lḥakîm.,Abay Yazılışı
137,2,130,vemey yergabu `am milleti ibrâhîme illâ men sefihe nefseh. veleḳadi-ṣṭafeynâhu fi-ddunyâ. veinnehû fi-l'âḫirati lemine-ṣṣâliḥîn.,Abay Yazılışı
138,2,131,iẕ ḳâle lehû rabbuhû eslim ḳâle eslemtu lirabbi-l`âlemîn.,Abay Yazılışı
139,2,132,veveṣṣâ bihâ ibrâhîmu benîhi veya`ḳûb. yâ benîye inne-llâhe-ṣṭafâ lekumu-ddîne felâ temûtunne illâ veentum muslimûn.,Abay Yazılışı
140,2,133,em kuntum şuhedâe iẕ ḥaḍara ya`ḳûbe-lmevtu iẕ ḳâle libenîhi mâ ta`budûne mim ba`dî. ḳâlû na`budu ilâheke veilâhe âbâike ibrâhîme veismâ`île veisḥâḳa ilâhev vâḥidâ. venaḥnu lehû muslimûn.,Abay Yazılışı
141,2,134,tilke ummetun ḳad ḫalet. lehâ mâ kesebet velekum mâ kesebtum. velâ tus'elûne `ammâ kânû ya`melûn.,Abay Yazılışı
142,2,135,veḳâlû kûnû hûden ev neṣârâ tehtedû. ḳul bel millete ibrâhîme ḥanîfâ. vemâ kâne mine-lmuşrikîn.,Abay Yazılışı
143,2,136,ḳûlû âmennâ billâhi vemâ unzile ileynâ vemâ unzile ilâ ibrâhîme veismâ`île veisḥâḳa veya`ḳûbe vel'esbâṭi vemâ ûtiye mûsâ ve`îsâ vemâ ûtiye-nnebiyyûne mir rabbihim. lâ nuferriḳu beyne eḥadim minhum. venaḥnu lehû muslimûn.,Abay Yazılışı
144,2,137,fein âmenû bimiŝli mâ âmentum bihî feḳadi-htedev. vein tevellev feinnemâ hum fî şiḳâḳ. feseyekfîkehumu-llâh. vehuve-ssemî`u-l`alîm.,Abay Yazılışı
145,2,138,ṣibgate-llâh. vemen aḥsenu mine-llâhi ṣibgah. venaḥnu lehû `âbidûn.,Abay Yazılışı
146,2,139,ḳul etuḥâccûnenâ fi-llâhi vehuve rabbunâ verabbukum. velenâ a`mâlunâ velekum a`mâlukum. venaḥnu lehû muḫliṣûn.,Abay Yazılışı
147,2,140,em teḳûlûne inne ibrâhîme veismâ`île veisḥâḳa veya`ḳûbe vel'esbâṭa kânû hûden ev neṣârâ. ḳul eentum a`lemu emi-llâh. vemen ażlemu mimmen keteme şehâdeten `indehû mine-llâh. veme-llâhu bigâfilin `ammâ ta`melûn.,Abay Yazılışı
148,2,141,tilke ummetun ḳad ḫalet. lehâ mâ kesebet velekum mâ kesebtum. velâ tus'elûne `ammâ kânû ya`melûn.,Abay Yazılışı
149,2,142,seyeḳûlu-ssufehâu mine-nnâsi mâ vellâhum `an ḳibletihimu-lletî kânû `aleyhâ. ḳul lillâhi-lmeşriḳu velmagrib. yehdî mey yeşâu ilâ ṣirâṭim musteḳîm.,Abay Yazılışı
150,2,143,vekeẕâlike ce`alnâkum ummetev veseṭal litekûnû şuhedâe `ale-nnâsi veyekûne-rrasûlu `aleykum şehîdâ. vemâ ce`alne-lḳiblete-lletî kunte `aleyhâ illâ lina`leme mey yettebi`u-rrasûle mimmey yenḳalibu `alâ `aḳibeyh. vein kânet lekebîraten illâ `ale-lleẕîne hede-llâh. vemâ kâne-llâhu liyuḍî`a îmânekum. inne-llâhe binnâsi leraûfur raḥîm.,Abay Yazılışı
151,2,144,ḳad nerâ teḳallube vechike fi-ssemâ'. felenuvelliyenneke ḳibleten terḍâhâ. fevelli vecheke şaṭra-lmescidi-lḥarâm. veḥayŝu mâ kuntum fevellû vucûhekum şaṭrah. veinne-lleẕîne ûtu-lkitâbe leya`lemûne ennehu-lḥaḳḳu mir rabbihim. veme-llâhu bigâfilin `ammâ ya`melûn.,Abay Yazılışı
152,2,145,velein eteyte-lleẕîne ûtu-lkitâbe bikulli âyetim mâ tebi`û ḳibletek. vemâ ente bitâbi`in ḳibletehum. vemâ ba`ḍuhum bitâbi`in ḳiblete ba`ḍ. veleini-tteba`te ehvâehum mim ba`di mâ câeke mine-l`ilmi inneke iẕel lemine-żżâlimîn.,Abay Yazılışı
153,2,146,elleẕîne âteynâhumu-lkitâbe ya`rifûnehû kemâ ya`rifûne ebnâehum. veinne ferîḳam minhum leyektumûne-lḥaḳḳa vehum ya`lemûn.,Abay Yazılışı
154,2,147,elḥaḳḳu mir rabbike felâ tekûnenne mine-lmumterîn.,Abay Yazılışı
155,2,148,velikulliv vichetun huve muvellîhâ festebiḳu-lḫayrât. eyne mâ tekûnû ye'ti bikumu-llâhu cemî`â. inne-llâhe `alâ kulli şey'in ḳadîr.,Abay Yazılışı
156,2,149,vemin ḥayŝu ḫaracte fevelli vecheke şaṭra-lmescidi-lḥarâm. veinnehû lelḥaḳḳu mir rabbik. veme-llâhu bigâfilin `ammâ ta`melûn.,Abay Yazılışı
157,2,150,vemin ḥayŝu ḫaracte fevelli vecheke şaṭra-lmescidi-lḥarâm. veḥayŝu mâ kuntum fevellû vucûhekum şaṭrahû liellâ yekûne linnâsi `aleykum ḥucceh. ille-lleẕîne żalemû minhum felâ taḫşevhum vaḫşevnî veliutimme ni`metî `aleykum vele`allekum tehtedûn.,Abay Yazılışı
158,2,151,kemâ erselnâ fîkum rasûlem minkum yetlû `aleykum âyâtinâ veyuzekkîkum veyu`allimukumu-lkitâbe velḥikmete veyu`allimukum mâ lem tekûnû ta`lemûn.,Abay Yazılışı
159,2,152,feẕkurûnî eẕkurkum veşkurû lî velâ tekfurûn.,Abay Yazılışı
160,2,153,yâ eyyuhe-lleẕîne âmenu-ste`înû biṣṣabri veṣṣalâh. inne-llâhe me`a-ṣṣâbirîn.,Abay Yazılışı
161,2,154,velâ teḳûlû limey yuḳtelu fî sebîli-llâhi emvâh. bel aḥyâuv velâkil lâ teş`urûn.,Abay Yazılışı
162,2,155,velenebluvennekum bişey'im mine-lḫavfi velcû`i venaḳṣim mine-l'emvâli vel'enfusi veŝŝemerât. vebeşşiri-ṣṣâbirîn.,Abay Yazılışı
163,2,156,elleẕîne iẕâ eṣâbethum muṣîbetun ḳâlû innâ lillâhi veinnâ ileyhi râci`ûn.,Abay Yazılışı
164,2,157,ulâike `aleyhim ṣalevâtum mir rabbihim veraḥmetuv veulâike humu-lmuhtedûn.,Abay Yazılışı
165,2,158,inne-ṣṣafâ velmervete min şe`âiri-llâh. femen ḥacce-lbeyte evi-`temera felâ cunâḥa `aleyhi ey yeṭṭavvefe bihimâ. vemen teṭavve`a ḫayran feinne-llâhe şâkirun `alîm.,Abay Yazılışı
166,2,159,inne-lleẕîne yektumûne mâ enzelnâ mine-lbeyyinâti velhudâ mim ba`di mâ beyyennâhu linnâsi fi-lkitâbi ulâike yel`anuhumu-llâhu veyel`anuhumu-llâ`inûn.,Abay Yazılışı
167,2,160,ille-lleẕîne tâbû veaṣleḥû vebeyyenû feulâike etûbu `aleyhim. veene-ttevvâbu-rraḥîm.,Abay Yazılışı
168,2,161,inne-lleẕîne keferû vemâtû vehum kuffârun ulâike `aleyhim la`netu-llâhi velmelâiketi vennâsi ecme`în.,Abay Yazılışı
169,2,162,ḫâlidîne fîhâ. lâ yuḫaffefu `anhumu-l`aẕâbu velâ hum yunżarûn.,Abay Yazılışı
170,2,163,veilâhukum ilâhuv vâḥid. lâ ilâhe illâ huve-rraḥmânu-rraḥîm.,Abay Yazılışı
171,2,164,inne fî ḫalḳi-ssemâvâti vel'arḍi vaḫtilâfi-lleyli vennehâri velfulki-lletî tecrî fi-lbaḥri bimâ yenfe`u-nnâse vemâ enzele-llâhu mine-ssemâi mim mâin feaḥyâ bihi-l'arḍa ba`de mevtihâ vebeŝŝe fîhâ min kulli dâbbeh. vetaṣrîfi-rriyâḥi vesseḥâbi-lmuseḫḫari beyne-ssemâi vel'arḍi leâyâtil liḳavmiy ya`ḳilûn.,Abay Yazılışı
172,2,165,vemine-nnâsi mey yetteḫiẕu min dûni-llâhi endâdey yuḥibbûnehum keḥubbi-llâh. velleẕîne âmenû eşeddu ḥubbel lillâh. velev yera-lleẕîne żalemû iẕ yeravne-l`aẕâbe enne-lḳuvvete lillâhi cemî`av veenne-llâhe şedîdu-l`aẕâb.,Abay Yazılışı
173,2,166,iẕ teberrae-lleẕîne-ttubi`û mine-lleẕîne-ttebe`û veraevu-l`aẕâbe veteḳaṭṭa`at bihimu-l'esbâb.,Abay Yazılışı
174,2,167,veḳâle-lleẕîne-ttebe`û lev enne lenâ kerraten feneteberrae minhum kemâ teberraû minnâ. keẕâlike yurîhimu-llâhu a`mâlehum ḥaserâtin `aleyhim. vemâ hum biḫâricîne mine-nnâr.,Abay Yazılışı
175,2,168,yâ eyyuhe-nnâsu kulû mimmâ fi-l'arḍi ḥalâlen ṭayyibâ. velâ tettebi`û ḫuṭuvâti-şşeyṭân. innehû lekum `aduvvum mubîn.,Abay Yazılışı
176,2,169,innemâ ye'murukum bissûi velfaḥşâi veen teḳûlû `ale-llâhi mâ lâ ta`lemûn.,Abay Yazılışı
177,2,170,veiẕâ ḳîle lehumu-ttebi`û mâ enzele-llâhu ḳâlû bel nettebi`u mâ elfeynâ `aleyhi âbâenâ. evelev kâne âbâuhum lâ ya`ḳilûne şey'ev velâ yehtedûn.,Abay Yazılışı
178,2,171,vemeŝelu-lleẕîne keferû kemeŝeli-lleẕî yen`iḳu bimâ lâ yesme`u illâ du`âev venidââ. ṣummum bukmun `umyun fehum lâ ya`ḳilûn.,Abay Yazılışı
179,2,172,yâ eyyuhe-lleẕîne âmenû kulû min ṭayyibâti mâ razaḳnâkum veşkurû lillâhi in kuntum iyyâhu ta`budûn.,Abay Yazılışı
180,2,173,innemâ ḥarrame `aleykumu-lmeytete veddeme velaḥme-lḫinzîri vemâ uhille bihî ligayri-llâh. femeni-ḍṭurra gayra bâgiv velâ `âdin felâ iŝme `aleyh. inne-llâhe gafûrur raḥîm.,Abay Yazılışı
181,2,174,inne-lleẕîne yektumûne mâ enzele-llâhu mine-lkitâbi veyeşterûne bihî ŝemenen ḳalîlen ulâike mâ ye'kulûne fî buṭûnihim ille-nnâra velâ yukellimuhumu-llâhu yevme-lḳiyâmeti velâ yuzekkîhim. velehum `aẕâbun elîm.,Abay Yazılışı
182,2,175,ulâike-lleẕîne-şteravu-ḍḍalâlete bilhudâ vel`aẕâbe bilmagfirah. femâ aṣberahum `ale-nnâr.,Abay Yazılışı
183,2,176,ẕâlike bienne-llâhe nezzele-lkitâbe bilḥaḳḳ. veinne-lleẕîne-ḫtelefû fi-lkitâbi lefî şiḳâḳum be`îd.,Abay Yazılışı
184,2,177,leyse-lbirra en tuvellû vucûhekum ḳibele-lmeşriḳi velmagribi velâkinne-lbirra men âmene billâhi velyevmi-l'âḫiri velmelâiketi velkitâbi vennebiyyîn. veâte-lmâle `alâ ḥubbihî ẕevi-lḳurbâ velyetâmâ velmesâkîne vebne-ssebîli vessâilîne vefi-rriḳâb. veeḳâme-ṣṣalâte veâte-zzekâh. velmûfûne bi`ahdihim iẕâ `âhedû. veṣṣâbirîne fi-lbe'sâi veḍḍarrâi veḥîne-lbe's. ulâike-lleẕîne ṣadeḳû. veulâike humu-lmutteḳûn.,Abay Yazılışı
185,2,178,yâ eyyuhe-lleẕîne âmenû kutibe `aleykumu-lḳiṣâṣu fi-lḳatlâ. elḥurru bilḥurri vel`abdu bil`abdi vel'unŝâ bil'unŝâ. femen `ufiye lehû min eḫîhi şey'un fettibâ`um bilma`rûfi veedâun ileyhi biiḥsân. ẕâlike taḫfîfum mir rabbikum veraḥmetun. femeni-`tedâ ba`de ẕâlike felehû `aẕâbun elîm.,Abay Yazılışı
186,2,179,velekum fi-lḳiṣâṣi ḥayâtuy yâ ûli-l'elbâbi le`allekum tetteḳûn.,Abay Yazılışı
187,2,180,kutibe `aleykum iẕâ ḥaḍara eḥadekumu-lmevtu in terake ḫayran. elveṣiyyetu lilvâlideyni vel'aḳrabîne bilma`rûf. ḥaḳḳan `ale-lmutteḳîn.,Abay Yazılışı
188,2,181,femem beddelehû ba`de mâ semi`ahû feinnemâ iŝmuhû `ale-lleẕîne yubeddilûneh. inne-llâhe semî`un `alîm.,Abay Yazılışı
189,2,182,femen ḫâfe mim mûṣin cenefen ev iŝmen feaṣleḥa beynehum felâ iŝme `aleyh. inne-llâhe gafûrur raḥîm.,Abay Yazılışı
190,2,183,yâ eyyuhe-lleẕîne âmenû kutibe `aleykumu-ṣṣiyâmu kemâ kutibe `ale-lleẕîne min ḳablikum le`allekum tetteḳûn.,Abay Yazılışı
191,2,184,eyyâmem ma`dûdât. femen kâne minkum merîḍan ev `alâ seferin fe`iddetum min eyyâmin uḫar. ve`ale-lleẕîne yuṭîḳûnehû fidyetun ṭa`âmu miskîn. femen teṭavve`a ḫayran fehuve ḫayrul leh. veen teṣûmû ḫayrul lekum in kuntum ta`lemûn.,Abay Yazılışı
192,2,185,şehru rameḍane-lleẕî unzile fîhi-lḳur'ânu hudel linnâsi vebeyyinâtim mine-lhudâ velfurḳân. femen şehide minkumu-şşehra felyeṣumh. vemen kâne merîḍan ev `alâ seferin fe`iddetum min eyyâmin uḫar. yurîdu-llâhu bikumu-lyusra velâ yurîdu bikumu-l`usr. velitukmilu-l`iddete velitukebbiru-llâhe `alâ mâ hedâkum vele`allekum teşkurûn.,Abay Yazılışı
193,2,186,veiẕâ seeleke `ibâdî `annî feinnî ḳarîb. ucîbu da`vete-ddâ`i iẕâ de`âni felyestecîbû lî velyu'minû bî le`allehum yerşudûn.,Abay Yazılışı
194,2,187,uḥille lekum leylete-ṣṣiyâmi-rrafeŝu ilâ nisâikum. hunne libâsul lekum veentum libâsul lehunn. `alime-llâhu ennekum kuntum taḫtânûne enfusekum fetâbe `aleykum ve`afâ `ankum. fel'âne bâşirûhunne vebtegû mâ ketebe-llâhu lekum. vekulû veşrabû ḥattâ yetebeyyene lekumu-lḫayṭu-l'ebyeḍu mine-lḫayṭi-l'esvedi mine-lfecr. ŝumme etimmu-ṣṣiyâme ile-lleyl. velâ tubâşirûhunne veentum `âkifûne fi-lmesâcid. tilke ḥudûdu-llâhi felâ taḳrabûhâ. keẕâlike yubeyyinu-llâhu âyâtihî linnâsi le`allehum yetteḳûn.,Abay Yazılışı
195,2,188,velâ te'kulû emvâlekum beynekum bilbâṭili vetudlû bihâ ile-lḥukkâmi lite'kulû ferîḳam min emvâli-nnâsi bil'iŝmi veentum ta`lemûn.,Abay Yazılışı
196,2,189,yes'elûneke `ani-l'ehilleh. ḳul hiye mevâḳîtu linnâsi velḥacc. veleyse-lbirru bien te'tu-lbuyûte min żuhûrihâ velâkinne-lbirra meni-tteḳâ. ve'tu-lbuyûte min ebvâbihâ. vetteḳu-llâhe le`allekum tufliḥûn.,Abay Yazılışı
197,2,190,veḳâtilû fî sebîli-llâhi-lleẕîne yuḳâtilûnekum velâ ta`tedû. inne-llâhe lâ yuḥibbu-lmu`tedîn.,Abay Yazılışı
198,2,191,vaḳtulûhum ḥayŝu ŝeḳiftumûhum veaḫricûhum min ḥayŝu aḫracûkum velfitnetu eşeddu mine-lḳatl. velâ tuḳâtilûhum `inde-lmescidi-lḥarâmi ḥattâ yuḳâtilûkum fîh. fein ḳâtelûkum faḳtulûhum. keẕâlike cezâu-lkâfirîn.,Abay Yazılışı
199,2,192,feini-ntehev feinne-llâhe gafûrur raḥîm.,Abay Yazılışı
200,2,193,veḳâtilûhum ḥattâ lâ tekûne fitnetuv veyekûne-ddînu lillâh. feini-ntehev felâ `udvâne illâ `ale-żżâlimîn.,Abay Yazılışı
201,2,194,eşşehru-lḥarâmu bişşehri-lḥarâmi velḥurumâtu ḳiṣâṣ. femeni-`tedâ `aleykum fa`tedû `aleyhi bimiŝli me-`tedâ `aleykum. vetteḳu-llâhe va`lemû enne-llâhe me`a-lmutteḳîn.,Abay Yazılışı
202,2,195,veenfiḳû fî sebîli-llâhi velâ tulḳû bieydîkum ile-ttehlukeh. veaḥsinû. inne-llâhe yuḥibbu-lmuḥsinîn.,Abay Yazılışı
203,2,196,veetimmu-lḥacce vel`umrate lillâh. fein uḥṣirtum feme-steysera mine-lhedy. velâ taḥliḳû ruûsekum ḥattâ yebluga-lhedyu meḥilleh. femen kâne minkum merîḍan ev bihî eẕem mir ra'sihî fefidyetum min ṣiyâmin ev ṣadeḳatin ev nusuk. feiẕâ emintum. femen temette`a bil`umrati ile-lḥacci feme-steysera mine-lhedy. femel lem yecid feṣiyâmu ŝelâŝeti eyyâmin fi-lḥacci veseb`atin iẕâ raca`tum. tilke `aşeratun kâmileh. ẕâlike limel lem yekun ehluhû ḥâḍiri-lmescidi-lḥarâm. vetteḳu-llâhe va`lemû enne-llâhe şedîdu-l`iḳâb.,Abay Yazılışı
204,2,197,elḥaccu eşhurum ma`lûmâh. femen feraḍa fîhinne-lḥacce felâ rafeŝe velâ fusûḳa velâ cidâle fi-lḥacc. vemâ tef`alû min ḫayriy ya`lemhu-llâh. vetezevvedû feinne ḫayra-zzâdi-ttaḳvâ. vetteḳûni yâ ûli-l'elbâb.,Abay Yazılışı
205,2,198,leyse `aleykum cunâḥun en tebtegû faḍlem mir rabbikum. feiẕâ efaḍtum min `arafâtin feẕkuru-llâhe `inde-lmeş`ari-lḥarâm. veẕkurûhu kemâ hedâkum. vein kuntum min ḳablihî lemine-ḍḍâllîn.,Abay Yazılışı
206,2,199,ŝumme efîḍû min ḥayŝu efâḍa-nnâsu vestagfiru-llâh. inne-llâhe gafûrur raḥîm.,Abay Yazılışı
207,2,200,feiẕâ ḳaḍaytum menâsikekum feẕkuru-llâhe keẕikrikum âbâekum ev eşedde ẕikrâ. femine-nnâsi mey yeḳûlu rabbenâ âtinâ fi-ddunyâ vemâ lehû fi-l'âḫirati min ḫalâḳ.,Abay Yazılışı
208,2,201,veminhum mey yeḳûlu rabbenâ âtinâ fi-ddunyâ ḥasenetev vefi-l'âḫirati ḥasenetev veḳinâ `aẕâbe-nnâr.,Abay Yazılışı
209,2,202,ulâike lehum neṣîbum mimmâ kesebû. vellâhu serî`u-lḥisâb.,Abay Yazılışı
210,2,203,veẕkuru-llâhe fî eyyâmim ma`dûdât. femen te`accele fî yevmeyni felâ iŝme `aleyh. vemen teeḫḫara felâ iŝme `aleyhi limeni-tteḳâ. vetteḳu-llâhe va`lemû ennekum ileyhi tuḥşerûn.,Abay Yazılışı
211,2,204,vemine-nnâsi mey yu`cibuke ḳavluhû fi-lḥayâti-ddunyâ veyuşhidu-llâhe `alâ mâ fî ḳalbihî vehuve eleddu-lḫiṣâm.,Abay Yazılışı
212,2,205,veiẕâ tevellâ se`â fi-l'arḍi liyufside fîhâ veyuhlike-lḥarŝe vennesl. vellâhu lâ yuḥibbu-lfesâd.,Abay Yazılışı
213,2,206,veiẕâ ḳîle lehu-tteḳi-llâhe eḫaẕethu-l`izzetu bil'iŝmi feḥasbuhû cehennem. velebi'se-lmihâd.,Abay Yazılışı
214,2,207,vemine-nnâsi mey yeşrî nefsehu-btigâe merḍâti-llâh. vellâhu raûfum bil`ibâd.,Abay Yazılışı
215,2,208,yâ eyyuhe-lleẕîne âmenu-dḫulû fi-ssilmi kâffeten. velâ tettebi`û ḫuṭuvâti-şşeyṭân. innehû lekum `aduvvum mubîn.,Abay Yazılışı
216,2,209,fein zeleltum mim ba`di mâ câetkumu-lbeyyinâtu fa`lemû enne-llâhe `azîzun ḥakîm.,Abay Yazılışı
217,2,210,hel yenżurûne illâ ey ye'tiyehumu-llâhu fî żulelim mine-lgamâmi velmelâiketu veḳuḍiye-l'emr. veile-llâhi turce`u-l'umûr.,Abay Yazılışı
218,2,211,sel benî isrâîle kem âteynâhum min âyetim beyyineh. vemey yubeddil ni`mete-llâhi mim ba`di mâ câethu feinne-llâhe şedîdu-l`iḳâb.,Abay Yazılışı
219,2,212,zuyyine lilleẕîne keferu-lḥayâtu-ddunyâ veyesḫarûne mine-lleẕîne âmenû. velleẕîne-tteḳav fevḳahum yevme-lḳiyâmeh. vellâhu yerzuḳu mey yeşâu bigayri ḥisâb.,Abay Yazılışı
220,2,213,kâne-nnâsu ummetev vâḥideten febe`aŝe-llâhu-nnebiyyîne mubeşşirîne vemunẕirîn. veenzele me`ahumu-lkitâbe bilḥaḳḳi liyaḥkume beyne-nnâsi fîme-ḫtelefû fîh. veme-ḫtelefe fîhi ille-lleẕîne ûtûhu mim ba`di mâ câethumu-lbeyyinâtu bagyem beynehum. fehede-llâhu-lleẕîne âmenû lime-ḫtelefû fîhi mine-lḥaḳḳi biiẕnih. vellâhu yehdî mey yeşâu ilâ ṣirâṭim musteḳîm.,Abay Yazılışı
221,2,214,em ḥasibtum en tedḫulu-lcennete velemmâ ye'tikum meŝelu-lleẕîne ḫalev min ḳablikum. messethumu-lbe'sâu veḍḍarrâu vezulzilû ḥattâ yeḳûle-rrasûlu velleẕîne âmenû me`ahû metâ naṣru-llâh. elâ inne naṣra-llâhi ḳarîb.,Abay Yazılışı
222,2,215,yes'elûneke mâẕâ yunfiḳûn. ḳul mâ enfaḳtum min ḫayrin felilvâlideyni vel'aḳrabîne velyetâmâ velmesâkîni vebni-ssebîl. vemâ tef`alû min ḫayrin feinne-llâhe bihî `alîm.,Abay Yazılışı
223,2,216,kutibe `aleykumu-lḳitâlu vehuve kurhul lekum. ve`asâ en tekrahû şey'ev vehuve ḫayrul lekum. ve`asâ en tuḥibbû şey'ev vehuve şerrul lekum. vellâhu ya`lemu veentum lâ ta`lemûn.,Abay Yazılışı
224,2,217,yes'elûneke `ani-şşehri-lḥarâmi ḳitâlin fîh. ḳul ḳitâlun fîhi kebîr. veṣaddun `an sebîli-llâhi vekufrum bihî velmescidi-lḥarâmi veiḫrâcu ehlihî minhu ekberu `inde-llâh. velfitnetu ekberu mine-lḳatl. velâ yezâlûne yuḳâtilûnekum ḥattâ yeruddûkum `an dînikum ini-steṭâ`û. vemey yertedid minkum `an dînihî feyemut vehuve kâfirun feulâike ḥabiṭat a`mâluhum fi-ddunyâ vel'âḫirah. veulâike aṣḥâbu-nnâr. hum fîhâ ḫâlidûn.,Abay Yazılışı
225,2,218,inne-lleẕîne âmenû velleẕîne hâcerû vecâhedû fî sebîli-llâhi ulâike yercûne raḥmete-llâh. vellâhu gafûrur raḥîm.,Abay Yazılışı
226,2,219,yes'elûneke `ani-lḫamri velmeysir. ḳul fîhimâ iŝmun kebîruv vemenâfi`u linnâs. veiŝmuhumâ ekberu min nef`ihimâ. veyes'elûneke mâẕâ yunfiḳûn. ḳuli-l`afv. keẕâlike yubeyyinu-llâhu lekumu-l'âyâti le`allekum tetefekkerûn.,Abay Yazılışı
227,2,220,fi-ddunyâ vel'âḫirah. veyes'elûneke `ani-lyetâmâ. ḳul iṣlâḥul lehum ḫayr. vein tuḫâliṭûhum feiḫvânukum. vellâhu ya`lemu-lmufside mine-lmuṣliḥ. velev şâe-llâhu lea`netekum. inne-llâhe `azîzun ḥakîm.,Abay Yazılışı
228,2,221,velâ tenkiḥu-lmuşrikâti ḥattâ yu'minn. veleemetum mu'minetun ḫayrum mim muşriketiv velev a`cebetkum. velâ tunkiḥu-lmuşrikîne ḥattâ yu'minû. vele`abdum mu'minun ḫayrum mim muşrikiv velev a`cebekum. ulâike yed`ûne ile-nnâr. vellâhu yed`û ile-lcenneti velmagfirati biiẕnih. veyubeyyinu âyâtihî linnâsi le`allehum yeteẕekkerûn.,Abay Yazılışı
229,2,222,veyes'elûneke `ani-lmeḥîḍ. ḳul huve eẕen fa`tezilu-nnisâe fi-lmeḥîḍi velâ taḳrabûhunne ḥattâ yaṭhurn. feiẕâ teṭahherne fe'tûhunne min ḥayŝu emerakumu-llâh. inne-llâhe yuḥibbu-ttevvâbîne veyuḥibbu-lmuteṭahhirîn.,Abay Yazılışı
230,2,223,nisâukum ḥarŝul lekum. fe'tû ḥarŝekum ennâ şi'tum. veḳaddimû lienfusikum. vetteḳu-llâhe va`lemû ennekum mulâḳûh. vebeşşiri-lmu'minîn.,Abay Yazılışı
231,2,224,velâ tec`alu-llâhe `urḍatel lieymânikum en teberrû vetetteḳû vetuṣliḥû beyne-nnâs. vellâhu semî`un `alîm.,Abay Yazılışı
232,2,225,lâ yuâḫiẕukumu-llâhu billagvi fî eymânikum velâkiy yuâḫiẕukum bimâ kesebet ḳulûbukum. vellâhu gafûrun ḥalîm.,Abay Yazılışı
233,2,226,lilleẕîne yu'lûne min nisâihim terabbuṣu erbe`ati eşhur. fein fâû feinne-llâhe gafûrur raḥîm.,Abay Yazılışı
234,2,227,vein `azemu-ṭṭalâḳa feinne-llâhe semî`un `alîm.,Abay Yazılışı
235,2,228,velmuṭalleḳâtu yeterabbaṣne bienfusihinne ŝelâŝete ḳurû'. velâ yeḥillu lehunne ey yektumne mâ ḫaleḳa-llâhu fî erḥâmihinne in kunne yu'minne billâhi velyevmi-l'âḫir. vebu`ûletuhunne eḥaḳḳu biraddihinne fî ẕâlike in erâdû iṣlâḥâ. velehunne miŝlu-lleẕî `aleyhinne bilma`rûf. velirricâli `aleyhinne deraceh. vellâhu `azîzun ḥakîm.,Abay Yazılışı
236,2,229,eṭṭalâḳu merratân. feimsâkum bima`rûfin ev tesrîḥum biiḥsân. velâ yeḥillu lekum en te'ḫuẕû mimmâ âteytumûhunne şey'en illâ ey yeḫâfâ ellâ yuḳîmâ ḥudûde-llâh. fein ḫiftum ellâ yuḳîmâ ḥudûde-llâhi felâ cunâḥa `aleyhimâ fîme-ftedet bih. tilke ḥudûdu-llâhi felâ ta`tedûhâ. vemey yete`adde ḥudûde-llâhi feulâike humu-żżâlimûn.,Abay Yazılışı
237,2,230,fein ṭalleḳahâ felâ teḥillu lehû mim ba`du ḥattâ tenkiḥa zevcen gayrah. fein ṭalleḳahâ felâ cunâḥa `aleyhimâ ey yeterâce`â in żannâ ey yuḳîmâ ḥudûde-llâh. vetilke ḥudûdu-llâhi yubeyyinuhâ liḳavmiy ya`lemûn.,Abay Yazılışı
