kelime,arapca_harfler,anlam
aynülyakîn,ﻦﻴﻘﻴﻝا ﻦﻴﻋ,"kesin, kesin bilgi."
ayş,ﺶﻴﻋ,"yaşama, keyif alma, gününü gün etme."
ayyâr,رﺎﻴﻋ,1.kurnaz. 2.düzenbaz.
azâb,باﺬﻋ,azap.
azab,بﺰﻋ,bekar.
azamet,ﺖﻤﻈﻋ,"1.büyüklük, ululuk. 2.çalım."
azdâd,داﺪﺽا,"zıtlar, karşıtlar."
azil,لﺰﻋ,görevden alma.
âzim,مزﺎﻋ,kararlı.
azîm,ﻢﻴﻈﻋ,büyük.
azîmet,ﺖﻤیﺰﻋ,"gitme, yola çıkma."
aziz,ﺰیﺰﻋ,"değerli, saygın."
azîze,ﻩﺰیﺰﻋ,1.sevgili. 2.saygın.
azl,لﺰﻋ,görevden alma.
azm,مﺰﻋ,1.azim. 2.niyet.
azm,ﻢﻈﻋ,kemik.
azrâ,ارﺬﻋ,bâkire.
azrâil,ﻞﻴﺋادﺰﻋ,Azrail.
azrar,راﺮﺽا,zararlar.
azulât,تﻼﻀﻋ,adaleler.
ba’de,ﺪﻌﺑ,sonra.
ba’dehu,ﻩﺪﻌﺑ,"daha sonra, ondan sonra."
ba’delmîlâd,دﻼﻴﻤﻝاﺪﻌﺑ,"milattan sonra, İsa’dan sonra."
ba’demâ,ﺎﻡﺪﻌﺑ,bundan böyle.
ba’s,ﺚﻌﺑ,diriliş.
ba’süba’delmevt,تﻮﻤﻝا ﺪﻌﺑ ﺚﻌﺑ,ölümden sonra diriliş.
ba’zan,ﺎﻀﻌﺑ,"bazen, kimi zaman."
bâb,بﺎﺑ,1.kapı. 2.konu. 3.bölüm.
bâdî,یدﺎﺑ,"sebep olan, yol açan."
bâdire,ﻩردﺎﺑ,"tehlikeli olay, felaket."
bâdiye,ﻪیدﺎﺑ,çöl.
bağteten,ﺔﺘﻐﺑ,"ansızın, birdenbire."
bâh,ﻩﺎﺑ,cinsel güç.
bahâyim,ﻢیﺎﻬﺑ,dört ayaklı hayvanlar.
bahîl,ﻞﻴﺨﺑ,cimri.
bâhis,ﺚﺣﺎﺑ,"bahseden, söz eden."
bahis,ﺚﺤﺑ,1.konu. 2.tartışma.
bahr,ﺮﺤﺑ,deniz.
bahs,ﺚﺤﺑ,1.konu. 2.tartışma.
bâhûr,رﻮﺧﺎﺑ,aşırı sıcak.
baîd,ﺪﻴﻌﺑ,uzak.
bâis,ﺚﻋﺎﺑ,"yol açan, sebep olan."
bakâyâ,ﺎیﺎﻘﺑ,geriye kalanlar.
bakıyye,ﻪﻴﻘﺑ,"geriye kalan, bakiye."
bâkî,ﯽﻗﺎﺑ,"1.kalıcı, ölümsüz. 2.artan, geri kalan."
bâkir,ﺮﮐﺎﺑ,el sürülmemiş.
bâkire,ﻩﺮﮐﺎﺑ,kızoğlan kız.
bâliğ,ﻎﻝﺎﺑ,"1.erişkin. 2.tutan, varan."
bârid,درﺎﺑ,soğuk.
bârika,ﻪﻗرﺎﺑ,şimşek.
bâriz,زرﺎﺑ,belirgin.
basar,ﺮﺼﺑ,1.görme. 2.görme yetisi.
basîret,تﺮﻴﺼﺑ,"görüş, ileriyi görme gücü."
basît,ﻂﻴﺴﺑ,1.sade. 2.kolay.
bast,ﻂﺴﺑ,yayma.
batâet,ﺖﺋﺎﻄﺑ,"ağırlık, yavaşlık."
bâtıl,ﻞﻃﺎﺑ,1.hükümsüz. 2.boş.
batın,ﻦﻄﺑ,"1.karın. 2.kuşak, nesil."
bâtınen,ﺎﻨﻃﺎﺑ,işin iç yüzünde.
batî,ﯽﻄﺑ,"ağır, yavaş."
batn,ﻦﻄﺑ,"1.karın. 2.kuşak, nesil."
batt,ﻂﺑ,kaz.
battal,لﺎﻄﺑ,1.yiğit. 2.köhnemiş. 3.hantal.
bâyi,ﻊیﺎﺑ,satıcı.
baytâr,رﺎﻄﻴﺑ,veteriner.
bazen,ﺎﻀﻌﺑ,kimi zaman
bazı,ﺾﻌﺑ,kimi.
be’s,سﺄﺑ,"zarar, kötü yan."
bedâheten,ﺔهاﺪﺑ,düşünmeden.
bedâvet,تواﺪﺑ,1.göçebelik. 2.bedevîlik.
bedâyi’,ﻊیاﺪﺑ,yeni ve güzel şeyler.
bedelât,تﻻﺪﺑ,bedeller.
bedenen,ﺎﻥﺪﺑ,vücutça.
bedevî,یوﺪﺑ,çöl arabı.
bedeviyyet,ﺖیوﺪﺑ,1.göçebelik. 2.bedevîlik.
bedî’,ﻊیﺪﺑ,"güzel, yepyeni."
bedîa,ﻪﻌیﺪﺑ,yepyeni şey.
bedîhe,ﻪﻬیﺪﺑ,düşünmeden.
bedîhî,ﯽﻬیﺪﺑ,kuşkusuz.
bedr,رﺪﺑ,dolunay.
bedre,ﻩرﺪﺑ,para kesesi.
behcet,ﺖﺠﻬﺑ,1.sevinç. 2.güzellik.
behic,ﺞﻴﻬﺑ,güleryüzlü.
behîmî,ﯽﻤﻴﻬﺑ,hayvanî.
behîmiyyet,ﺖﻴﻤﻴﻬﺑ,hayvanlık.
behiyye,ﻪﻴﻬﺑ,güzel.
beht,ﺖﻬﺑ,şaşkınlık.
bekâ,ﺎﻘﺑ,kalıcılık.
bekâya,ﺎیﺎﻘﺑ,geriye kalanlar; kalıntılar.
bekrî,یﺮﮑﺑ,içki düşkünü.
bel,ﻞﺑ,belki.
bel’,ﻊﻠﺑ,1.yutma. 2.yutulma.
belâ,ﻼﺑ,"felaket, musibet."
belâ,ﯽﻠﺑ,evet.
belâdet,تدﻼﺑ,dangalaklık.
belâgat,ﺖﻏﻼﺑ,kusursuz söz söyleme
belâhet,ﺖهﻼﺑ,eblehlik.
belâyâ,ﺎیﻼﺑ,belalar.
belde,ﻩﺪﻠﺑ,"1.kent. 2.diyar, memleket."
beled,ﺪﻠﺑ,1.kent. 2.memleket.
beledî,یﺪﻠﺑ,kentli.
belediyye,ﻪیﺪﻠﺑ,belediye.
belî,ﯽﻠﺑ,evet.
belîğ,ﻎﻴﻠﺑ,"1.fasih konuşan. 2.fasih, düzgün."
beliyyât,تﺎﻴﻠﺑ,belalar.
belût,طﻮﻠﺑ,"1.pelit, palamut. 2.meşe."
benân,نﺎﻨﺑ,1.parmaklar. 2.parmak uçları.
benât,تﺎﻨﺑ,kızlar.
benî,ﯽﻨﺑ,oğullar.
bennâ,ءﺎﻨﺑ,yapı ustası.
benû,ﻮﻨﺑ,oğullar.
berâ’et,ﺖﺋاﺮﺑ,aklanma.
berâhîn,ﻦﻴهاﺮﺑ,"deliller, kanıtlar."
berd,دﺮﺑ,soğuk.
berdülacuz,زﻮﺠﻌﻝادﺮﺑ,kocakarı soğuğu.
berekât,تﺎﮐﺮﺑ,bereketler.
bereket,ﺖﮐﺮﺑ,1.bolluk. 2.uğur.
berevât,تاوﺮﺑ,beratlar.
berî,یﺮﺑ,"arınmış, temiz, uzak."
berîd,ﺪیﺮﺑ,1.ulak. 2.postacı.
berk,قﺮﺑ,şimşek.
berr,ﺮﺑ,1.toprak. 2.kara. 3.kıta.
berrak,قاﺮﺑ,duru.
berren,اﺮﺑ,kara yolu ile.
berrî,یﺮﺑ,kara ile ilgili.
berzah,خزﺮﺑ,"1.cehennem. 2.dil, kara uzantısı. 3.sorun, dert."
besâtîn,ﻦﻴﺕﺎﺴﺑ,bahçeler.
besîm,ﻢﻴﺴﺑ,güleç.
beşâret,ترﺎﺸﺑ,müjde.
beşer,ﺮﺸﺑ,1.insan. 2.insanlık.
beşere,ﻩﺮﺸﺑ,"deri, dış deri."
beşerî,یﺮﺸﺑ,"insanlıkla ilgili, insanî."
beşeriyyât,تﺎیﺮﺸﺑ,antropoloji.
beşeriyyet,ﺖیﺮﺸﺑ,insanlık.
beşîr,ﺮﻴﺸﺑ,müjdeci.
beşûş,شﻮﺸﺑ,güleç.
betâet,ﺖﺋﺎﻄﺑ,"ağırlık, yavaşlık."
bevl,لﻮﺑ,1.idrar. 2.işeme.
bevlî,ﯽﻝﻮﺑ,idrar ile ilgili.
bevliyye,ﻪﻴﻝﻮﺑ,üroloji.
bevvâb,باﻮﺑ,kapıcı.
bevvâbîn,ﻦﻴﺑاﻮﺑ,kapıcılar.
bey’,ﻊﻴﺑ,satış.
beyân,نﺎﻴﺑ,"açıklama, ifade etme, dile getirme."
beyânât,تﺎﻥﺎﻴﺑ,"açıklamalar, demeç."
beyâz,ضﺎﻴﺑ,"ak, beyaz."
beyn,ﻦﻴﺑ,"ara, orta."
beynelmilel,ﻞﻠﻤﻝا ﻦﻴﺑ,uluslararası.
beynülmilel,ﻞﻠﻤﻝا ﻦﻴﺑ,uluslararası.
beyt,ﺖﻴﺑ,1.ev. 2.konut. 3.beyit.
beytâr,رﺎﻄﻴﺑ,veteriner.
beytullah,ﷲا ﺖﻴﺑ,Kâbe.
beytûtet,ﺖﺕﻮﺘﻴﺑ,geceleme.
beytülmal,لﺎﻤﻝا ﺖﻴﺑ,"hazine, maliye hazinesi."
beyzâ,ﺎﻀﻴﺑ,"bembeyaz, çok beyaz."
beyze,ﻪﻀﻴﺑ,1.yumurta. 2.husye.
beyzî,ﯽﻀﻴﺑ,oval.
bezir,رﺬﺑ,tohum.
bezle,ﻪﻝﺬﺑ,"şaka, latife."
bezzaz,ﺰﺑﺰﺑ,"manifaturacı, kumaşçı."
bi’r,ﺮﺌﺑ,kuyu.
bi’set,ﺖﺜﺌﺑ,"gönderiliş, Hz. Muhammed’in peygamber olarak gönderilişi."
bid’at,ﺖﻋﺪﺑ,1.sonradan ortaya çıkma. 2.dinde yeni getirilmiş şey.
bidâyet,ﺖیاﺪﺑ,başlangıç.
bihakkın,ﻖﺤﺑ,"hakkıyla, hak ederek."
bihamdillah,ﷲاﺪﻤﺤﺑ,Allah’a şükürler olsun.
bihâr,رﺎﺤﺑ,denizler.
bihâzelemr,ﺮﻡﻻا اﺬﻬﺑ,"buna göre, bu durumda, böylelikle."
bikr,ﺮﮑﺑ,"1.el sürülmemiş. 2.yepyeni, orijinal."
bilâd,دﻼﺑ,1.beldeler. 2.memleketler.
bilâfâsıla,ﻪﻠﺹﺎﻓﻼﺑ,"aralıksız, kesintisiz."
bilâhareket,ﺖﮐﺮﺣﻼﺑ,"hareketsiz, hareket etmeden."
bilâhere,ﻩﺮﺧﻵﺎﺑ,"1.sonradan. 2.sonunda, nihayet."
bilâinkıtâ,عﺎﻄﻘﻥاﻼﺑ,"kesintisiz, aralıksız."
bilâkayt,ﺪﻴﻗﻼﺑ,"kayıtsız şartsız, kesin."
bilakis,ﺲﮑﻌﻝﺎﺑ,"aksine, tersine."
bilâmâni’a,ﻪﻌﻥﺎﻡﻼﺑ,engelsiz
bilâmazeret,ترﺬﻌﻡﻼﺑ,"mazeretsiz, özür bildirmeksizin."
bilâmerhamet,ﺖﻤﺣﺮﻡﻼﺑ,acımasızca.
bilâmühlet,ﺖﻠﻬﻡﻼﺑ,"zaman tanımadan, süre vermeden."
bilâşikâyet,ﺖیﺎﮑﺵﻼﺑ,şikayet etmeden.
bilâte’ehhür,ﺮﺧﺄﺕﻼﺑ,gecikmeden.
bilâtefrik,ﻖیﺮﻔﺕﻼﺑ,hiçbir ayırım gözetmeksizin.
bilâtehlike,ﻪﮑﻠﻬﺕﻼﺑ,tehlikesizce.
bilâteminat,تﺎﻨﻴﻡﺄﺕﻼﺑ,"güvencesiz, teminatsız."
bilâücret,تﺮﺝأﻼﺑ,"parasız, ücretsiz."
bilcümle,ﻪﻠﻤﺠﻝﺎﺑ,tümüyle.
bilfarz,ضﺮﻔﻝﺎﺑ,diyelim ki.
bilfiil,ﻞﻌﻔﻝﺎﺑ,"gerçekten, yaparak, katılarak, bizzat."
bilhassa,ﻪﺹﺎﺨﻝﺎﺑ,"özellikle, hele hele."
biliktizâ,ﺎﻀﺘﻗﻻﺎﺑ,gerektiğinden.
bililtizâm,ماﺰﺘﻝﻻﺎﺑ,"bilerek, bile bile."
bilistifade,ﻩدﺎﻔﺘﺱﻻﺎﺑ,"yararlanarak, istifade ederek."
bilistihsâl,لﺎﺼﺤﺘﺱﻻﺎﺑ,"alarak, elde ederek."
biliştirâk,کاﺮﺘﺵﻻﺎﺑ,katılarak.
billûr,رﻮﻠﺑ,kristal.
bilmecbûriye,ﻪیﺮﺌﺒﺠﻤﻝﺎﺑ,"zorunlu olarak, mecburen."
bilmukabele,ﻪﻠﺑﺎﻘﻤﻝﺎﺑ,"karşılığında, aynen, mukabele ederek, mukâbil olarak."
bilmünâsebe,ﻪﺒﺱﺎﻨﻤﻝﺎﺑ,"bir münasebetle, sırası geldiğinde."
bilmünâvebe,ﻪﺑوﺎﻨﻤﻝﺎﺑ,dönüşümlü.
bilmüzakere,ﻩﺮﮐاﺬﻤﻝﺎﺑ,görüşülerek.
bilumum,مﻮﻤﻌﻝﺎﺑ,"tüm, bütün."
bilvâsıta,ﻪﻄﺱاﻮﻝﺎﺑ,dolaylı olarak.
bin,ﻦﺑ,oğul.
binâ,ءﺎﻨﺑ,yapı.
binâen,ءﺎﻨﺑ,"dayanarak, göre."
binâenaleyh,ﻪﻴﻠﻋ ءﺎﻨﺑ,"bu yüzden, bundan dolayı."
binnetice,ﻪﺠﻴﺘﻨﻝﺎﺑ,"sonuçta, sonuç olarak."
binnisbe,ﻪﺒﺴﻨﻝﺎﺑ,"bir dereceye kadar, nispeten."
bint,ﺖﻨﺑ,kız.
bisât,طﺎﺴﺑ,yaygı.
bitamâmihâ,ﺎﻬﻡﺎﻤﺘﺑ,"tümüyle, tamamen."
bittab’,ﻊﺒﻄﻝﺎﺑ,doğal olarak.
bittafsîl,ﻞﻴﺼﻔﺘﻝﺎﺑ,"ayrıntılı olarak, uzun uzadıya."
bittamâm,مﺎﻤﺘﻝﺎﺑ,tümüyle.
bizâtihi,ﻪﺕاﺬﺑ,kendiliğinden.
bizzarûre,ﻩروﺮﻀﻝﺎﺑ,zorunlu olarak.
bu’d,ﺪﻌﺑ,1.uzaklık. 2.boyut.
bu’diyet,ﺖیﺪﻌﺑ,"uzaklık, mesafe."
buhalâ,ﻼﺨﺑ,cimriler.
buhâr,رﺎﺨﺑ,"buğu, buhar."
buhl,ﻞﺨﺑ,cimrilik.
buhrân,ناﺮﺤﺑ,"bunalım, kriz."
buht,ﺖﻬﺑ,şaşkınlık.
buk’a,ﻪﻌﻘﺑ,"1.yer, diyar. 2.ülke."
buk’avî,یﻮﻌﻘﺑ,yerel.
burc,جﺮﺑ,1.burç. 2.yıldız kümesi.
burhan,نﺎهﺮﺑ,"kanıt, delil."
burûc,جوﺮﺑ,burçlar.
burûdet,تدوﺮﺑ,soğukluk.
butlân,نﻼﻄﺑ,"1.boşluk, anlamsızlık. 2.yalan."
butûn,نﻮﻄﺑ,"1.karınlar. 2.kuşaklar, nesiller."
bühtân,نﺎﺘﻬﺑ,iftira.
bükâ,ءﺎﮑﺑ,ağlama.
bülaceb,ﺐﺠﻌﻝاﻮﺑ,şaşılacak şey.
büldân,ناﺪﻠﺑ,"beldeler, diyarlar, ülkeler."
büleğâ,ءﺎﻐﻠﺑ,belagat sahipleri.
bülheves,سﻮﻬﻝاﻮﺑ,maymun iştahlı.
bülûğ,غﻮﻠﺑ,erginlik.
bünye,ﻪﻴﻨﺑ,yapı.
bünyeviyat,تﺎیﻮﻴﻨﺑ,"bünye ile ilgili bilim dalı, morfoloji."
bürde,ﻩدﺮﺑ,hırka.
bürhân,نﺎهﺮﺑ,kanıt.
bürka,ﻊﻗﺮﺑ,peçe.
bürûdet,تدوﺮﺑ,soğukluk.
bürûz,زوﺮﺑ,ortaya çıkma.
büşrâ,اﺮﺸﺑ,müjde.
bütûn,نﻮﻄﺑ,"1.karınlar. 2.kuşaklar, nesiller."
büyût,تﻮﻴﺑ,1.evler. 2.beyitler.
büzûr,روﺬﺑ,tohumlar.
ca’l,ﻞﻌﺝ,yapma.
ca’lî,ﯽﻠﻌﺝ,"1.yapma, uydurma. 2.sahte."
câbir,ﺮﺑﺎﺝ,zorlayıcı.
câdde,ﻩدﺎﺝ,"ana yol, cadde."
câhid,ﺪهﺎﺝ,çalışıp çabalayan.
câhil,ﻞهﺎﺝ,bilgisiz.
câiz,ﺰﺋﺎﺝ,uygun.
câize,ﻩﺰﺋﺎﺝ,ödül.
câlib,ﺐﻝﺎﺝ,"ilginç, çekici."
câmi’,ﻊﻡﺎﺝ,1.toplayan. 2.cami.
câmia,ﻪﻌﻡﺎﺝ,topluluk.
câmid,ﺪﻡﺎﺝ,1.cansız. 2.donuk.
câmûs,سﻮﻡﺎﺝ,"manda, camız."
cânib,ﺐﻥﺎﺝ,taraf.
câr,رﺎﺝ,komşu.
cârî,رِ ﺎﺝ,"geçerli, yürürlükte."
câriha,ﻪﺣرﺎﺝ,1.yırtıcı kuş. 2.yırtıcı hayvan.
câriye,ﻪیرﺎﺝ,halayık.
câyi’,ﻊیﺎﺝ,aç.
câzib,بذﺎﺝ,1.ilginç. 2.çekici.
câzibe,ﻪﺑذﺎﺝ,çekicilik.
câzibiyyet,ﺖﻴﺑذﺎﺝ,çekicilik.
cebâbire,ﻩﺮﺑﺎﺒﺝ,zorbalar.
cebânet,ﺖﻥﺎﺒﺝ,korkaklık.
cebbâr,رﺎﺒﺝ,"1.zorba. 2.güçlü. 3.Tanrı. 4.tuttuğunu koparan, becerikli."
cebel,ﻞﺒﺝ,dağ.
cebhe,ﻪﻬﺒﺝ,1.cephe. 2.alın. 3.yüz.
cebîn,ﻦﻴﺒﺝ,korkak.
cebr,ﺮﺒﺝ,1.zorlama. 2.cebir.
cebren,اﺮﺒﺝ,zorla.
cebrî,یﺮﺒﺝ,"zoraki, zorla."
cedâvil,لواﺪﺝ,"cetveller, çizelgeler."
cedd,ﺪﺝ,ata.
cedel,لﺪﺝ,1.tartışma. 2.mücadele.
cedelî,ﯽﻝﺪﺝ,"tartışmaya dayalı, münakaşa üstüne oturmuş."
cedî,یﺪﺝ,1.oğlak. 2.oğlak burcu.
cedîd,ﺪیﺪﺝ,yeni.
cedîde,ﻩﺪیﺪﺝ,yeni.
cedvel,لوﺪﺝ,1.cetvel. 2.çizelge.
cefâ,ﺎﻔﺝ,"üzme, eziyet etme."
ceffelkalem,ﻢﻠﻘﻝا ﻒﺝ,çalakalem.
cefr,ﺮﻔﺝ,gaipten haber veren bilim.
cehâlet,ﺖﻝﺎﻬﺝ,"cahillik, bilgisizlik."
cehd,ﺪﻬﺝ,"çalışma, çabalama."
cehele,ﻪﻠﻬﺝ,cahiller.
cehl,ﻞﻬﺝ,"cahillik, bilgisizlik."
cehren,اﺮﻬﺝ,açıkça.
celâdet,تدﻼﺝ,yiğitlik.
celâl,لﻼﺝ,ululuk.
celb,ﺐﻠﺝ,kendine çekme.
celeb,ﺐﻠﺝ,sığır tüccarı.
celesât,تﺎﺴﻠﺝ,oturumlar.
celîl,ﻞﻴﻠﺝ,ulu.
celîs,ﺲﻴﻠﺝ,arkadaş.
cellâd,دﻼﺝ,cellat.
celse,ﻪﺴﻠﺝ,oturum.
cem’,ﻊﻤﺝ,1.toplama. 2.çoğul.
cem’an,ﺎﻌﻤﺝ,toplam.
cem’iyyât,تﺎﻴﻌﻤﺝ,"cemiyetler, dernekler."
cem’iyyet,ﺖﻴﻌﻤﺝ,"1.cemiyet, dernek. 2.topluluk."
cemâat,ﺖﻋﺎﻤﺝ,1.topluluk. 2.camide ibadet edenler.
cemâd,دﺎﻤﺝ,cansız varlık.
cemâdât,تادﺎﻤﺝ,cansız varlıklar.
cemâhîr,ﺮﻴهﺎﻤﺝ,cumhuriyetler.
cemâl,لﺎﻤﺝ,yüz güzelliği.
cemel,ﻞﻤﺝ,deve.
cemî’,ﻊﻴﻤﺝ,tümü.
cemî’an,ﺎﻌﻴﻤﺝ,tümüyle.
cemil,ﻞﻴﻤﺝ,1.güzel. 2.yüzü güzel.
cemîle,ﻪﻠﻴﻤﺝ,iyilik.
cemiyet,ﺖﻴﻌﻤﺝ,"topluluk, toplum."
cemm,ﻢﺝ,kalabalık.
cenâb,بﺎﻨﺝ,hazret.
cenâbet,ﺖﺑﺎﻨﺝ,"1.pis, murdar. 2.cünüplük hali."
cenâh,حﺎﻨﺝ,kanat.
cenb,ﺐﻨﺝ,taraf.
cendere,ﻩرﺪﻨﺝ,"1.pres. 2.basınç, baskı. 3.oklava."
cennât,تﺎﻨﺝ,1.cennetler. 2.bahçeler.
cennet,ﺖﻨﺝ,1.cennet. 2.bahçe.
cennetmekân,نﺎﮑﻡ ﺖﻨﺝ,mekanı cennet olan.
cenûb,بﻮﻨﺝ,güney.
cenûbî,ﯽﺑﻮﻨﺝ,güneye ait.
cerâd,داﺮﺝ,çekirge.
cerâhat,ﺖﺣاﺮﺝ,yara.
cerâid,ﺪﺋاﺮﺝ,gazeteler.
cerâim,ﻢﺋاﺮﺝ,suçlar.
cerbeze,ﻩﺰﺑﺮﺝ,beceriklilik.
ceres,سﺮﺝ,1.çan. 2.çıngırak.
cereyân,نﺎیﺮﺝ,1.akış. 2.oluş. 3.akım.
cerh,حﺮﺝ,1.yaralama. 2.çürütme.
cerîde,ﻩﺪیﺮﺝ,1.gazete. 2.tutanak.
cerîha,ﻪﺤیﺮﺝ,yara.
cerîme,ﻪﻤیﺮﺝ,"1.suç. 2.para cezası, cereme. 3.ceza ödeme."
cerrâh,حاﺮﺝ,operatör.
cerrâhî,ﯽﺣاﺮﺝ,operatörlük.
cesâmet,ﺖﻡﺎﺴﺝ,irilik.
cesâret,ترﺎﺴﺝ,cesurluk.
cesîm,ﻢﻴﺴﺝ,"iri, büyük."
cesîmülcüsse,ﻪﺜﺠﻝا ﻢﻴﺴﺝ,"iri yapılı, iriyarı."
cesûr,رﻮﺴﺝ,cesaret sahibi.
cevâb,باﻮﺝ,1.yanıt. 2.karşılık.
cevâben,ﺎﺑاﻮﺝ,yanıt olarak.
cevâd,داﻮﺝ,cömert.
cevâhir,ﺮهاﻮﺝ,1.mücevherler. 2.mücevher.
cevâmi’,ﻊﻡاﻮﺝ,camiler.
cevâmid,ﺪﻡاﻮﺝ,cansız varlıklar.
cevâmîs,ﺲﻴﻡاﻮﺝ,mandalar.
cevânib,ﺐﻥاﻮﺝ,"yanlar, yönler."
cevârî,یراﻮﺝ,halayıklar.
cevâz,زاﻮﺝ,"izin, uygun verme."
cevdet,تدﻮﺝ,1iyilik. 2.olgunluk. 3.tazelik.
cevelân,نﻻﻮﺝ,"dolaşma, gezinti."
cevf,فﻮﺝ,boşluk.
cevher,ﺮهﻮﺝ,1.mücevher. 2.öz. 3.elmas.
cevherî,یﺮهﻮﺝ,1.mücevherle ilgili. 2.mücevherli. 3.öz ile ilgili.
cevir,رﻮﺝ,"haksızlık, üzülme, üzme, zulüm."
cevr,رﻮﺝ,"haksızlık, üzme, üzülme, zulüm."
cevv,ﻮﺝ,1.hava. 2.boşluk.
cevvâl,لاﻮﺝ,"çok hareketli, koşan."
cevvî,یﻮﺝ,hava ile ilgili.
cevzâ,ءازﻮﺝ,ikizler burcu.
ceyb,ﺐﻴﺝ,cep.
ceyş,ﺲﻴﺝ,asker.
ceyyid,ﺪﻴﺝ,"iyi, güzel."
cezâ,ءاﺰﺝ,1.karşılık. 2.ceza.
cezâir,ﺮﺋاﺰﺝ,adalar.
cezâlet,ﺖﻝاﺰﺝ,"akıcılık, düzgünlük."
cezb,بﺬﺝ,kendine çekme.
cezbe,ﻪﺑﺬﺝ,1.coşku. 2.kendinden geçiş.
cezer,رﺰﺝ,havuç.
cezîre,ﻩﺮیﺰﺝ,ada.
cezm,مﺰﺝ,kesin karar.
cezzâb,باﺬﺝ,"çekici, cazibeli."
cibâl,لﺎﺒﺝ,dağlar.
cibillet,ﺖﻠﺒﺝ,"karakter, yaratılış."
cibilliyet,ﺖﻴﻠﺒﺝ,"karakter, yaratılış."
cidâl,لاﺪﺝ,mücadele.
cidâr,راﺪﺝ,1.duvar. 2.zar.
cidden,اﺪﺝ,ciddi olarak.
ciddî,یﺪﺝ,1.ağırbaşlı. 2.önemli.
ciddiyyet,ﺖیﺪﺝ,1.ciddilik. 2.ağırbaşlılık.
cîfe,ﻪﻔﻴﺝ,leş.
cihâd,دﺎﻬﺝ,din uğrunda savaş.
cihâren,ارﺎﻬﺝ,açıkça.
cihât,تﺎﻬﺝ,1.yönler. 2.sebepler. 3.yerler.
cihâz,زﺎﻬﺝ,1.çeyiz. 2.aygıt. 3.sistem.
cihet,ﺖﻬﺝ,"1.yön, taraf. 2.bakım, nokta. 3.sebep."
cilâ,ءﻼﺝ,1.parlaklık. 2.cila.
cild,ﺪﻠﺝ,"1.deri, cilt. 2.kitap."
cilve,ﻩﻮﻠﺝ,1.görünme. 2.kırıtma.
cimâ’,عﺎﻤﺝ,cinsel ilişki.
cinâ’î,ﯽﺋﺎﻨﺝ,cinayetle ilgili.
cinân,نﺎﻨﺝ,1.cennetler. 2.bahçeler.
cinâze,ﻩزﺎﻨﺝ,tabut.
cinnet,ﺖﻨﺝ,çıldırma.
cins,ﺲﻨﺝ,1.tür. 2.soy.
cinsî,ﯽﺴﻨﺝ,cinsel.
cirm,مﺮﺝ,"cismin kapladığı yer, hacim."
cism,ﻢﺴﺝ,"1.cisim, madde. 2.vücut, beden."
cismânî,ﯽﻥﺎﻤﺴﺝ,1.cisim ile ilgili. 2.bedensel.
cismen,ﺎﻤﺴﺝ,bedenen.
cisr,ﺮﺴﺝ,köprü.
civâr,راﻮﺝ,yakın çevre.
cizye,ﻪیﺰﺝ,gayrimüslim vergisi.
cû’,شﻮﺝ,açlık.
cûd,دﻮﺝ,cömertlik.
cuğd,ﺪﻐﺝ,baykuş.
cum’a,ﻪﻌﻤﺝ,cuma.
cumhûr,رﻮﻬﻤﺝ,1.halk. 2.kalabalık.
cumhûrî,یرﻮﻬﻤﺝ,cumhuriyetle ilgili.
cumhûriyyet,ﺖیرﻮﻬﻤﺝ,cumhuriyet.
cübn,ﻦﺒﺝ,korkaklık.
cüdrân,نارﺪﺝ,duvarlar.
cühelâ,ءﻼﻬﺝ,cahiller.
cühhâl,لﺎﻬﺝ,cahiller.
cüllâh,ﻩﻼﺝ,"dokumacı, çulhacı."
cülûs,سﻮﻠﺝ,1.oturma. 2.tahta geçme.
cülûsiyye,ﻪﻴﺱﻮﻠﺝ,1.tahta çıkan hükümdarın dağıttığı bahşiş. 2.tahta çıkan
cümcüme,ﻪﻤﺠﻤﺝ,kafatası.
cümel,ﻞﻤﺝ,cümleler.
cümle,ﻪﻠﻤﺝ,"1.bütün, tüm. 2.tümce."
cümleten,ﺔﻠﻤﺝ,tümüyle
cümûd,دﻮﻤﺝ,donukluk.
cümûdiyye,ﻪیدﻮﻤﺝ,buzul.
cünd,ﺪﻨﺝ,1.asker. 2.ordu.
cündî,یﺪﻨﺝ,usta binici.
cünha,ﻪﺤﻨﺝ,küçük suç.
cünûd,دﻮﻨﺝ,1.askerler. 2.ordular.
cürm,مﺮﺝ,suç.
cürûf,فوﺮﺝ,"maden atığı, maden posası."
cüsse,ﻪﺜﺝ,"gövde, yapı."
cüz’,ءﺰﺝ,1.parça. 2.medrese alfabe kitabı.
cüz’î,ﯽﺋﺰﺝ,çok az.
cüz’iyyât,تﺎﻴﺋﺰﺝ,"küçük şeyler, önemsiz şeyler."
cüzâm,ماﺬﺝ,cüzzam.
çerâkese,ﻪﺴﮐاﺮچ,çerkesler.
dâ’î,ﯽﻋاد,"1.dua eden, duacı. 2.davet eden."
dâ’ussıla,ﻪﻠﺼﻝا ءاد,"yurdunu özleme, köyünü özleme."
dâfi’,ﻊﻓاد,"uzaklaştıran, defeden."
dağdağa,ﻪﻏﺪﻏد,"telaş, gürültü patırtı."
dâhî,ﯽهاد,deha sahibi.
dâhil,ﻞﺧاد,"iç, içeri."
